,date
1,10/7/2020
2,10/8/2020
3,10/9/2020
4,10/10/2020
5,10/14/2020
6,10/15/2020
7,10/16/2020
8,10/17/2020
9,10/18/2020
10,10/21/2020
11,10/22/2020
12,10/23/2020
13,10/26/2020
14,10/27/2020
15,10/28/2020
16,10/29/2020
17,4/13/2020
18,4/14/2020
19,4/15/2020
20,4/16/2020
21,4/17/2020
22,4/18/2020
23,4/19/2020
24,4/20/2020
25,4/21/2020
26,4/22/2020
27,6/8/2020
28,6/9/2020
29,6/10/2020
30,6/11/2020
31,6/12/2020
32,6/13/2020
33,6/14/2020
34,6/15/2020
35,6/16/2020
36,6/17/2020
37,6/30/2020
38,7/1/2020
39,7/7/2020
40,7/8/2020
41,7/12/2020
42,7/13/2020
43,7/14/2020
44,7/15/2020
45,7/17/2020
46,7/21/2020
47,7/22/2020
48,7/24/2020
49,7/25/2020
50,7/26/2020
51,7/27/2020
52,7/28/2020
53,7/29/2020
54,7/30/2020
55,7/31/2020
56,8/1/2020
57,8/2/2020
58,8/4/2020
59,8/5/2020
60,8/10/2020
61,8/11/2020
62,8/12/2020
63,8/14/2020
64,8/16/2020
65,8/17/2020
66,8/18/2020
67,8/19/2020
68,8/21/2020
69,8/23/2020
70,8/25/2020
71,8/26/2020
72,8/28/2020
73,8/29/2020
74,9/1/2020
75,9/2/2020
76,9/3/2020
77,9/4/2020
78,9/5/2020
