transit_bool,nopets_bool,nosmok_bool,host_about_bool,fewdays_response_time,1day_response_time,1hour_response_time,fewhours_response_time,host_response_rate,host_identity_verified,is_location_exact,Wheelchair_bool,TV_bool,Hair Dryer_bool,24-Hour_Check-in_bool,Doorman_bool,Kitchen_bool,Smoke_Detector_bool,Clothes_Dryer_bool,Pets_live_in_flat_bool,Free_Parking_bool,Heating_bool,Wireless_Internet_bool,AC_bool,security_deposit,cleaning_fee,instant_bookable,super_strict_canc,moderate_cancellation,strict_cancellation,flexible_cancellation,require_guest_profile_picture,require_guest_phone_verification
True,False,False,True,False,False,False,False,0.0,True,True,False,True,False,False,False,True,True,True,False,False,True,True,False,0.0,0.21666666666666667,False,False,False,True,False,False,False
True,False,False,True,False,False,False,False,0.0,True,True,False,True,False,False,False,True,True,True,False,False,True,True,False,0.21052631578947367,0.25,False,False,False,True,False,False,False
False,False,False,True,False,False,False,False,0.0,True,True,False,True,False,False,True,True,True,True,False,False,True,True,True,0.15789473684210525,0.08333333333333334,False,False,True,False,False,False,False
True,True,True,True,False,False,False,False,0.0,False,True,False,True,False,False,False,True,True,True,False,False,True,True,True,0.21052631578947367,0.08333333333333334,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,0.0,False,True,False,True,False,True,False,True,True,True,True,False,True,True,True,0.0,0.0,False,False,True,False,False,False,False
True,True,True,True,False,False,False,False,0.0,True,True,False,True,False,False,False,True,True,True,False,True,True,True,True,0.0,0.16666666666666669,False,False,True,False,False,False,False
True,False,False,False,False,False,False,False,0.0,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,0.002105263157894737,0.6000000000000001,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,0.0,True,True,False,False,False,False,False,True,True,True,True,False,True,True,True,0.0,0.0,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,0.0,False,True,False,True,True,False,False,True,False,True,False,False,True,True,True,0.5263157894736842,0.16666666666666669,False,False,False,True,False,False,False
True,False,True,True,False,False,False,False,0.0,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,0.0,0.18333333333333335,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,0.0,True,False,False,True,False,False,False,True,True,True,False,False,True,True,True,0.0,0.0,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,0.0,True,False,False,True,False,False,False,True,True,True,False,False,True,True,True,0.0,0.0,False,False,False,False,True,False,False
True,False,False,True,False,False,False,False,0.0,True,True,True,True,True,False,True,True,True,True,False,False,True,True,True,0.0,0.26666666666666666,False,False,False,True,False,False,False
True,False,False,True,False,False,False,False,0.0,True,True,False,True,True,True,False,True,True,True,False,True,True,True,True,0.0,0.0,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,0.0,False,False,False,True,False,False,False,True,True,True,False,False,True,True,True,0.5263157894736842,0.33333333333333337,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,0.0,True,True,False,True,False,False,False,True,True,True,False,True,True,True,True,0.0,0.0,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,0.0,True,True,False,True,False,False,True,True,True,True,False,False,True,True,True,0.0,0.0,False,False,False,True,False,False,False
False,False,False,False,False,False,False,False,0.0,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,0.0,0.16666666666666669,False,False,False,True,False,False,False
False,False,False,True,False,False,False,False,0.0,True,True,False,True,False,False,False,True,True,True,False,False,True,True,True,0.10526315789473684,0.1,False,False,False,False,True,False,False
True,False,True,True,False,False,False,False,0.0,True,False,False,True,False,False,False,True,True,True,False,False,True,True,True,0.0,0.0,False,False,True,False,False,False,False
True,False,False,True,False,False,False,False,0.0,False,True,False,True,False,False,False,False,True,False,True,False,True,True,True,0.0,0.0,False,False,False,True,False,False,False
